Species Common Name,Response Type,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
Domestic pig,Destroy Animal,,,,,,,,,,,1,
Double-crested Cormorant,Destroy Animal,,1,,,,,,,,,,
Elk,Destroy Animal,26,22,12,8,12,8,21,4,6,,1,
Grey Seal,Destroy Animal,,1,,,,,,,,,,
Grizzly Bear,Destroy Animal,,2,1,1,,,,,,,,
Honey bee,Destroy Animal,,,,,,,,3,,,,
House Sparrow,Destroy Animal,,,,1,,,,,,,,
Long-eared Owl,Destroy Animal,,,,1,,,,,,,,
Lynx,Destroy Animal,1,,,1,,,,,,,,
Magpie,Destroy Animal,2,,2,,1,1,1,,,,,
Marten,Destroy Animal,1,,,,,,,,,1,1,1
Massasauga,Destroy Animal,,1,,,,,,,,,,
Mink,Destroy Animal,,,,,,1,,,,,,
Moose,Destroy Animal,5,6,5,5,2,4,1,,,,,
Mountain Goat,Destroy Animal,,,1,,,,,,,,,
Mule Deer,Destroy Animal,7,11,14,4,6,7,2,1,1,2,3,5
Northern Gannet,Destroy Animal,2,,3,,,2,,,,,,
Plains Bison,Destroy Animal,3,5,1,1,2,1,3,,2,1,,1
Porcupine,Destroy Animal,1,,1,,,,,,,,,
Raccoon,Destroy Animal,,,3,1,5,4,,2,1,1,3,
Raven,Destroy Animal,,1,1,1,,1,1,,,,,
Red Fox,Destroy Animal,1,1,1,,,1,1,,2,,,
Red Squirrel,Destroy Animal,,1,2,,,,,,,1,,
Richardson's Ground Squirrel,Destroy Animal,,,1,,,,,,,,,
Ring-billed Gull,Destroy Animal,,,,,,1,,,,,,
Rock Pigeon,Destroy Animal,1,1,,1,,,,,,,,5
Sandhill Crane,Destroy Animal,,,1,,,,,,,,,
Silver-haired Bat,Destroy Animal,,,,,,,,2,,,,
Snowshoe Hare,Destroy Animal,1,1,,,1,,,,,,,
Steller Sea Lion,Destroy Animal,,,,,1,,,,,,,
Unknown bird,Destroy Animal,,1,,1,,1,,,,,,
Unknown Bison,Destroy Animal,,1,,,,,,,,,,
Unknown deer,Destroy Animal,2,3,1,,,,,,,,,
Unknown Duck,Destroy Animal,,,1,,,,,,,,,
Unknown gull,Destroy Animal,,,,,,1,,,,,,
Unknown Myotis bat,Destroy Animal,,,,,,,,,,,,1
Wasp,Destroy Animal,8,4,5,9,1,2,1,14,26,,6,33
White-tailed Deer,Destroy Animal,12,11,11,10,8,10,6,,,,,
Wild Turkey,Destroy Animal,,,1,1,,,12,,1,,,
Wolf,Destroy Animal,,,2,,5,1,2,1,,1,3,
Wood Bison,Destroy Animal,3,,1,,2,,,,1,,,
Atlantic White-sided Dolphin,Disentangle,,,,,,,,,1,,,
Bank Swallow,Disentangle,,,,,,,,,1,,,
Beaver,Disentangle,,,,,,,,,,1,1,
Black Bear,Disentangle,,,,,,,,,4,4,1,2
Cedar Waxwing,Disentangle,,,,,,,,1,,,,
Chipping Sparrow,Disentangle,,,,,,,,,,,,1
Columbian Ground Squirrel,Disentangle,,,,,,,,,,2,,1
Common Goldeneye,Disentangle,,,,,,,,1,2,1,,
Common Loon,Disentangle,,,,,,,,,1,,,
Common Merganser,Disentangle,,,,,,,,,,,1,
Coyote,Disentangle,,,,,,,,,,1,,
Crow,Disentangle,,,,,,,,,,,,1
Elk,Disentangle,,,,,,,,,4,2,1,4
Golden-mantled Ground Squirrel,Disentangle,,,,,,,,,,,1,
Grizzly Bear,Disentangle,,,,,,,,,,,,16
Herring Gull,Disentangle,,,,,,,,1,,1,,
Hoary Marmot,Disentangle,,,,,,,,,,,,1
House Sparrow,Disentangle,,,,,,,,,,1,,3
Little Brown Myotis,Disentangle,,,,,,,,,,,1,
Magpie,Disentangle,,,,,,,,2,1,1,,
Marten,Disentangle,,,,,,,,,,3,,1
Massasauga,Disentangle,,,,,,,,,1,,,
Merlin,Disentangle,,,,,,,,,,1,,
Moose,Disentangle,,,,,,,,,,,,1
Mountain Goat,Disentangle,,,,,,,,,,1,,
Mule Deer,Disentangle,,,,,,,,,2,4,3,
Muskrat,Disentangle,,,,,,,,,,,,1
Northern Flicker,Disentangle,,,,,,,,,,1,,1
Northern Saw-whet Owl,Disentangle,,,,,,,,,,1,,
Osprey,Disentangle,,,,,,,,,,2,,
Plains Bison,Disentangle,,,2,1,,,,,,,,
Plains Gartersnake,Disentangle,,,,,1,,,,,,,
Raccoon,Disentangle,,,,,,,,1,,,,2
Raven,Disentangle,,,,,,,,2,1,,,
Red Squirrel,Disentangle,,,,,,,,,,2,1,
Ruby-throated Hummingbird,Disentangle,,,,,,,,1,,,,
Sharp-shinned Hawk,Disentangle,,,,,,,,,1,,,
Skunk,Disentangle,,,,,,,,1,,,,
Swainson's Thrush,Disentangle,,,,,,,,,,,1,
Unknown bat,Disentangle,,,,,,,,1,2,,,
Unknown bird,Disentangle,,,,,,,,3,,,2,
Unknown Myotis bat,Disentangle,,,,,,,,,,1,1,
Unknown rodent,Disentangle,,,,,,,,,1,,,
Wasp,Disentangle,,,,,,,,,,,1,
White Pelican,Disentangle,,,,,,,,,,,,1
White-tailed Deer,Disentangle,,,,,,,,1,1,,,
Wild Horse,Disentangle,,,,,,,,,2,1,,
Wood Duck,Disentangle,,,,,,,,1,,,,
Woodrat,Disentangle,,,,,,,,,,1,,
Bighorn Sheep,Dispatch other Agency,,,,,,,1,,,,,
Black Bear,Dispatch other Agency,1,1,1,,1,4,1,4,,11,2,3
California Sea Lion,Dispatch other Agency,,,,1,,,,,,,,
Cougar,Dispatch other Agency,,1,,,,,,,,,,
Coyote,Dispatch other Agency,,,,,,1,,,,,,
Domestic Dog,Dispatch other Agency,,1,,,,,,,,,2,
Double-crested Cormorant,Dispatch other Agency,,,,,1,,,,,,,
Elk,Dispatch other Agency,,1,1,,2,,,,1,2,1,1
European rabbit,Dispatch other Agency,,,,1,,,1,,,,,
Green Sea Turtle,Dispatch other Agency,,1,,,,,1,,,,,
Grey Seal,Dispatch other Agency,1,,,,,,,,,,,
Grizzly Bear,Dispatch other Agency,,1,,,,1,,,1,3,,
Humpback Whale,Dispatch other Agency,,,,,,,,,,,,1
Magpie,Dispatch other Agency,,,,,,,1,1,,,,
Minke Whale,Dispatch other Agency,1,,,,,,,,,,,
Moose,Dispatch other Agency,2,,1,1,,3,1,,,,,
Mountain Goat,Dispatch other Agency,,,,,,,1,,,,,
Mule Deer,Dispatch other Agency,,,1,2,,,,,,,,
None,Dispatch other Agency,6,3,4,2,5,5,2,2,1,8,1,1
Northern Saw-whet Owl,Dispatch other Agency,,,,,,,,,1,,,
Plains Bison,Dispatch other Agency,1,1,,,,1,1,,,,1,
Plains Gartersnake,Dispatch other Agency,,1,,,,,,,,,,
Polar Bear,Dispatch other Agency,,,,,,,,,,1,,
Porcupine,Dispatch other Agency,,,,,,,,,,,,1
Prairie Rattlesnake,Dispatch other Agency,,,1,,,,,,,,,
Raccoon,Dispatch other Agency,1,,,,,,,,,,,
Raven,Dispatch other Agency,1,,,,,,,1,1,,,
Red Fox,Dispatch other Agency,,,,1,,,,,,,1,
Unknown Bison,Dispatch other Agency,,,,,,,,,,,,1
Unknown deer,Dispatch other Agency,,1,,1,1,4,1,,,,,
White-tailed Deer,Dispatch other Agency,,,,,,,1,,,,,
Wolf,Dispatch other Agency,,,,,,1,,,,,1,
Beaver,Disperse Wildlife Jam,,,,,,,,,1,1,,
Bighorn Sheep,Disperse Wildlife Jam,3,4,3,4,3,6,6,7,9,16,6,6
Black Bear,Disperse Wildlife Jam,77,54,75,48,98,51,60,106,189,429,80,124
Coyote,Disperse Wildlife Jam,2,1,,,,,,1,,1,,
Double-crested Cormorant,Disperse Wildlife Jam,,,,,,,,,,,1,
Elk,Disperse Wildlife Jam,17,26,17,12,16,33,33,93,68,54,25,44
Ermine,Disperse Wildlife Jam,,,,,,,,,,,,1
Green Sea Turtle,Disperse Wildlife Jam,,,,,,,1,,,,,
Grizzly Bear,Disperse Wildlife Jam,21,24,19,29,87,45,72,91,88,137,92,81
Moose,Disperse Wildlife Jam,1,2,2,3,2,1,2,14,25,31,6,10
Mountain Goat,Disperse Wildlife Jam,4,4,1,,4,4,2,6,1,4,2,8
Mule Deer,Disperse Wildlife Jam,,2,,1,2,6,3,2,2,,,1
None,Disperse Wildlife Jam,1,,,,1,,,,1,,,
Plains Bison,Disperse Wildlife Jam,,,,,,,,4,,7,4,1
Ruffed Grouse,Disperse Wildlife Jam,,1,,,,,,,,,,
Unknown,Disperse Wildlife Jam,,,,,,,,,,1,,1
Unknown bear,Disperse Wildlife Jam,2,,,1,,1,2,,2,4,1,2
White-tailed Deer,Disperse Wildlife Jam,,,1,,1,,,,,,,
Wolf,Disperse Wildlife Jam,,,,1,3,1,,,,,2,
American Coot,Dispose Carcass,,,,,,,,,3,1,,
American Robin,Dispose Carcass,,2,,1,,1,,,1,,,
American Tree Sparrow,Dispose Carcass,,,,,1,,,,,,,
Atlantic White-sided Dolphin,Dispose Carcass,,,,,,1,,,1,1,,
Badger,Dispose Carcass,,1,,,,,,,,,2,1
Bald Eagle,Dispose Carcass,1,1,,,3,1,,1,1,3,1,1
Bank Swallow,Dispose Carcass,,,,,,,,,,1,,
Barred Owl,Dispose Carcass,,1,1,,,1,1,4,,1,1,1
Beaver,Dispose Carcass,1,,2,2,2,4,9,5,1,3,2,2
Belted Kingfisher,Dispose Carcass,1,,,,,,,,,,,
Big Brown Bat,Dispose Carcass,1,1,,1,2,1,1,,,,,
Bighorn Sheep,Dispose Carcass,21,19,20,12,15,13,8,16,14,14,20,14
Black Bear,Dispose Carcass,15,24,22,20,28,20,12,23,32,32,28,19
Black Duck,Dispose Carcass,,,,,,,,,1,,,
Black Rat,Dispose Carcass,,,,,,,1,,,,,
Black Widow Spider,Dispose Carcass,,,,,,,1,,,,,
Black-footed Albatross,Dispose Carcass,,,,,,,,,,1,,
Black-tailed deer,Dispose Carcass,3,3,,,1,1,,1,,,,
Black-tailed prairie dog,Dispose Carcass,,,,,,,,1,,,,
Blanding's Turtle,Dispose Carcass,,,,1,,,,,,,,
Blue Grouse,Dispose Carcass,,1,,1,,,,,,,,
Blue Shark,Dispose Carcass,,,,,,,,,1,,,
Bohemian Waxwing,Dispose Carcass,,,,,,1,,,,,,2
Boreal Owl,Dispose Carcass,,,,1,,,,,1,1,,
Bufflehead,Dispose Carcass,,,,,,,,,1,,,
California Gull,Dispose Carcass,,1,,,1,,,,,,,
Canada Goose,Dispose Carcass,,4,3,1,6,5,8,4,2,2,2,6
Caribou,Dispose Carcass,,1,,1,,2,,,1,,,
Cedar Waxwing,Dispose Carcass,,,1,,2,,,1,1,1,1,
Chestnut-backed Chickadee,Dispose Carcass,,,,1,,,,1,,,,
Chipping Sparrow,Dispose Carcass,,,,,,,,,,1,,
Cliff Swallow,Dispose Carcass,,,,,,,,,,,,1
Columbian Ground Squirrel,Dispose Carcass,1,1,,,,,,3,2,2,,4
Common Gartersnake,Dispose Carcass,,1,,1,,,1,1,,2,,
Common Goldeneye,Dispose Carcass,,,1,,,,,,,,,
Common Loon,Dispose Carcass,1,,1,3,1,2,,,,,1,
Common Merganser,Dispose Carcass,,,,,,,1,,,,,
Common Murre,Dispose Carcass,1,,,,,1,,,,,,
Common Redpoll,Dispose Carcass,,,,,,2,,,,,,
Common Tern,Dispose Carcass,,,,,,,,,1,,,
Cooper's Hawk,Dispose Carcass,1,,,,,,,,1,,,
Cougar,Dispose Carcass,1,12,12,2,6,4,6,4,4,8,6,7
Coyote,Dispose Carcass,22,28,17,26,23,27,19,9,11,18,16,12
Crow,Dispose Carcass,,,,4,1,4,3,2,3,3,1,2
Dall's Porpoise,Dispose Carcass,,,,,,,,,1,,,
Dark-eyed Junco,Dispose Carcass,,,,,,,,,,3,1,1
Deer Mouse,Dispose Carcass,,,,,,,1,,,,,
Domestic Cat,Dispose Carcass,1,1,,,2,1,,1,,2,,2
Domestic Cattle,Dispose Carcass,,,,1,,1,,,,,,
Domestic Chicken,Dispose Carcass,,,,,,,,,,1,,
Domestic Dog,Dispose Carcass,1,6,5,1,,3,2,1,4,5,2,
Domestic Horse,Dispose Carcass,1,2,1,4,,,1,1,2,,,
Domestic pig,Dispose Carcass,,,,,,,,,,,1,
Double-crested Cormorant,Dispose Carcass,1,2,,,,,1,,1,,,
Eastern Chipmunk,Dispose Carcass,,,,,1,,,,,,,
Eastern Foxsnake,Dispose Carcass,,,,,1,,,,,,,
Elk,Dispose Carcass,54,55,46,42,34,55,41,44,35,30,41,37
European rabbit,Dispose Carcass,,,1,,,,,,,1,,1
European Starling,Dispose Carcass,,,,1,,,,,,,1,
Field Sparrow,Dispose Carcass,,,,,1,,,,,,,
Fisher,Dispose Carcass,1,,,,,,,,,,,
Franklin's Gull,Dispose Carcass,,,,,,,,,,1,1,
Golden Eagle,Dispose Carcass,,2,,1,2,,,,,,1,
Gopher snake,Dispose Carcass,,,,,,,,1,,,,
Gray Jay,Dispose Carcass,,,,2,,,,,,1,,
Great Black-backed Gull,Dispose Carcass,,,,,,,1,,,,,3
Great Blue Heron,Dispose Carcass,,1,,,,1,,1,,,,
Great Grey Owl,Dispose Carcass,,,1,1,1,1,1,1,1,,,1
Great Horned Owl,Dispose Carcass,,1,1,5,3,1,6,3,1,3,2,3
Greater White-fronted Goose,Dispose Carcass,1,,,,,,,,,,,
Grey Seal,Dispose Carcass,1,,,,,,,1,,2,,
Grizzly Bear,Dispose Carcass,5,10,10,6,6,5,1,4,3,2,4,12
Hairy Woodpecker,Dispose Carcass,,,,,1,,,,,,,
Harbour Porpoise,Dispose Carcass,1,,,1,,1,,1,,,,
Harbour seal,Dispose Carcass,,,1,,1,1,1,1,11,1,2,1
Harp Seal,Dispose Carcass,,2,,1,,,,,,,,
Herring Gull,Dispose Carcass,,1,,2,1,1,,,,,,2
Hoary Marmot,Dispose Carcass,1,,,,2,,1,3,1,6,1,1
Horned Grebe,Dispose Carcass,,,,1,,,,,,,,
House Sparrow,Dispose Carcass,,,,1,,1,2,,,,1,3
Lake Whitefish,Dispose Carcass,,,,,,,,,,,,1
Least Chipmunk,Dispose Carcass,1,,,,,,,,,,,
Least Weasel,Dispose Carcass,,,,,,,1,,,,,
Little Brown Myotis,Dispose Carcass,,,,,1,1,2,,,1,2,9
Long-eared Myotis,Dispose Carcass,,,,,,,,,,,,1
Long-eared Owl,Dispose Carcass,,,1,2,,,,1,,,,
Long-toed Salamander,Dispose Carcass,,,,1,,,,,,1,,
Lynx,Dispose Carcass,1,3,,2,1,2,1,1,,3,1,2
Magpie,Dispose Carcass,3,1,1,2,2,3,4,2,2,1,2,2
Mallard,Dispose Carcass,1,1,1,,1,,1,,,,2,
Marten,Dispose Carcass,3,5,5,7,5,7,9,2,8,10,9,4
Massasauga,Dispose Carcass,,2,,,,,,,,1,,
Merlin,Dispose Carcass,1,1,,,,3,2,1,,1,,1
Mink,Dispose Carcass,,,,,,1,1,1,1,1,1,
Minke Whale,Dispose Carcass,1,,,,,,,,,,,
Moose,Dispose Carcass,29,29,39,25,19,18,16,16,20,24,37,24
Mountain Goat,Dispose Carcass,,3,3,,4,4,3,1,10,7,6,4
Mule Deer,Dispose Carcass,61,77,54,27,27,34,25,42,34,26,23,32
Muskrat,Dispose Carcass,,,,,3,2,3,1,,2,1,
Mute Swan,Dispose Carcass,,,,1,,,,,,,,
Newfoundland Marten,Dispose Carcass,,,,,,,,,1,,,
None,Dispose Carcass,16,13,19,33,65,46,45,,2,,,
Northern Alligator Lizard,Dispose Carcass,1,,,,,,,,,,,
Northern Elephant Seal,Dispose Carcass,,,,,,,,,,1,,
Northern Flicker,Dispose Carcass,,,,,,,1,2,,,,
Northern Gannet,Dispose Carcass,1,3,1,3,,4,3,3,1,,1,
Northern Harrier,Dispose Carcass,,,1,,,,,,,,,
Northern Hawk Owl,Dispose Carcass,,,1,1,,,,,,,,
Northern Pygmy-Owl,Dispose Carcass,,,,,,1,,,,,,
Northern Saw-whet Owl,Dispose Carcass,,2,2,,1,,,1,2,1,1,
Osprey,Dispose Carcass,,1,1,5,,,1,,1,2,1,1
Pacific Salmon,Dispose Carcass,,,,,,,,,,,1,
Pileated Woodpecker,Dispose Carcass,1,,,,,,,,1,,,1
Pine Grosbeak,Dispose Carcass,,,,,,1,,,,,,
Pine Siskin,Dispose Carcass,,,,,,1,,,,1,,1
Plains Bison,Dispose Carcass,2,3,2,1,2,3,3,3,,2,,2
Plains Gartersnake,Dispose Carcass,,,,,,,,,,,,11
Porcupine,Dispose Carcass,3,1,5,2,2,5,4,9,9,7,6,7
Prairie Rattlesnake,Dispose Carcass,,,,,,,,2,,,,
Pronghorn,Dispose Carcass,,,,,,,,,1,,,
Raccoon,Dispose Carcass,1,3,6,2,6,3,1,1,3,,1,5
Raven,Dispose Carcass,3,2,2,7,3,10,4,4,4,5,3,3
Red Crossbill,Dispose Carcass,,,,,,2,,,,,,
Red Fox,Dispose Carcass,6,3,4,6,16,9,8,10,2,8,4,10
Red Squirrel,Dispose Carcass,1,,1,1,1,1,4,5,2,1,,1
Red-breasted Merganser,Dispose Carcass,,,,1,,,,,,,,
Red-breasted Nuthatch,Dispose Carcass,1,,,,,,,,,,,
Red-necked Grebe,Dispose Carcass,,1,1,,1,,,,,,,
Red-tailed Hawk,Dispose Carcass,,1,,1,2,3,,,,1,,1
Red-winged Blackbird,Dispose Carcass,,,,,,,,,1,,,
Richardson's Ground Squirrel,Dispose Carcass,,,,,,1,2,3,1,1,,
Ring-billed Gull,Dispose Carcass,,,,,2,,,3,,,1,
River Otter,Dispose Carcass,,,,2,,2,1,1,1,2,,1
Rock Pigeon,Dispose Carcass,2,2,,1,1,2,2,1,,,,3
Rough-legged Hawk,Dispose Carcass,,,,2,,,,,,,,
Ruby-crowned Kinglet,Dispose Carcass,,,,,,,,,,,,1
Ruffed Grouse,Dispose Carcass,,1,2,1,,3,1,1,4,3,,3
Sandhill Crane,Dispose Carcass,,,1,,,,,,,,,
Sea Otter,Dispose Carcass,,,1,,,1,,,,,1,
Sharp-shinned Hawk,Dispose Carcass,,1,,1,,1,2,,,,,
Short-eared Owl,Dispose Carcass,,1,,2,,,,,,,,1
Silver-haired Bat,Dispose Carcass,,,,,,1,,1,,,,
Skunk,Dispose Carcass,2,,1,2,2,1,4,1,1,2,1,2
Snow Goose,Dispose Carcass,,,,,,,,,1,,,
Snowshoe Hare,Dispose Carcass,1,2,,5,1,3,2,6,2,1,4,1
Snowy Owl,Dispose Carcass,1,,,1,,,,,,,,
Song Sparrow,Dispose Carcass,,,1,,,,,,,,,
Sowerby's Beaked Whale,Dispose Carcass,,,,1,,,,,,,,
Spruce Grouse,Dispose Carcass,,,1,,,,,,,,,1
Steller Sea Lion,Dispose Carcass,1,,,,1,1,1,,,1,1,
Steller's Jay,Dispose Carcass,,,,,,,1,,,,,
Swainson's Hawk,Dispose Carcass,,,,,,,1,,,,,
Swainson's Thrush,Dispose Carcass,,1,,,,,,,,1,,1
Tiger Salamander,Dispose Carcass,,,,,,,,,,,,9
Tree Swallow,Dispose Carcass,,,,,,,,,,,1,
Trumpeter swan,Dispose Carcass,,,,,1,1,,,,,,
Unknown,Dispose Carcass,1,,1,2,2,1,2,,,1,1,
Unknown bat,Dispose Carcass,1,,,,1,,1,1,,,2,1
Unknown bear,Dispose Carcass,,,,,,,,,1,,,
Unknown bird,Dispose Carcass,3,2,,1,2,,3,3,8,3,3,1
Unknown deer,Dispose Carcass,5,6,3,5,3,3,4,1,2,3,8,
Unknown Duck,Dispose Carcass,1,1,3,1,,,1,,1,,2,
Unknown fish,Dispose Carcass,1,,,2,2,1,,,,,,
Unknown Frog or Toad,Dispose Carcass,,,,,,,,,,,,2
Unknown grouse,Dispose Carcass,,,,,,,,,1,,,
Unknown gull,Dispose Carcass,2,2,1,1,1,2,,1,1,,1,1
Unknown hawk,Dispose Carcass,,,,1,,,,,,,,
Unknown Mouse,Dispose Carcass,,,1,,,,,,,,,
Unknown Myotis bat,Dispose Carcass,,,,,1,,,3,2,2,1,2
Unknown owl,Dispose Carcass,,,,,,,,,1,1,,
Unknown raptor,Dispose Carcass,1,,,,,,,1,,1,1,2
Unknown rodent,Dispose Carcass,1,,,,,,,,1,,1,
Unknown sea lion,Dispose Carcass,,,,,,,1,,,,1,
Unknown seal,Dispose Carcass,,,,,1,1,,,,,,
Unknown sucker,Dispose Carcass,,,,,,,,,,,,1
Unknown ungulate,Dispose Carcass,,,,,,,,,,1,,
Varied Thrush,Dispose Carcass,,,1,,,,,,,,,
Water Snake,Dispose Carcass,,,,,,,,,,,,1
Western Grebe,Dispose Carcass,,1,,,,1,,,,,,
Western Meadowlark,Dispose Carcass,,,,,,,,,,,,1
Western Painted Turtle,Dispose Carcass,,,,,,1,,,,,,
Western Screech-Owl,Dispose Carcass,,,,,,,,,,1,,
Western Tanager,Dispose Carcass,,,,,1,,,,,,,
Western Toad,Dispose Carcass,,,,,,1,,,,,,38
White Pelican,Dispose Carcass,2,1,1,,,,,,,,,
White-tailed Deer,Dispose Carcass,118,107,84,72,76,73,62,60,43,60,63,56
White-winged Crossbill,Dispose Carcass,1,,,,,1,,,,,,
Whooping Crane,Dispose Carcass,,,2,,,,,,,,,
Wild Turkey,Dispose Carcass,,,1,,,,,,,,,
Wilson's Snipe,Dispose Carcass,,,,,,,,,,,1,
Wolf,Dispose Carcass,18,16,22,10,10,8,7,10,3,9,16,9
Wolverine,Dispose Carcass,1,1,1,,,1,,,,,1,
Wood Bison,Dispose Carcass,3,2,4,7,5,15,1,1,5,1,1,2
Woodchuck,Dispose Carcass,1,,1,2,,1,3,,1,2,,
Woodrat,Dispose Carcass,2,1,,1,1,1,,1,1,2,,
Yellow Warbler,Dispose Carcass,,,,,,,,,3,,,
Yellow-bellied Sapsucker,Dispose Carcass,,,,,,,1,,,,,
Yellow-pine Chipmunk,Dispose Carcass,1,,,,,,,,,,,
Bighorn Sheep,Ear Tag,,,,,,1,,1,,,,
Black Bear,Ear Tag,10,21,4,2,4,15,2,2,,,1,
Cougar,Ear Tag,1,,1,,,,,,,,,
Elk,Ear Tag,3,2,,1,2,3,15,1,,1,,
Grizzly Bear,Ear Tag,,,,,,1,,,1,1,,
Harbour Porpoise,Ear Tag,,,,,,,,1,,,,
Mule Deer,Ear Tag,8,4,7,2,6,5,,,,,,
None,Ear Tag,,,3,,,,,,,,,
Plains Bison,Ear Tag,,,,,,,,,1,1,,
Red Fox,Ear Tag,,,2,,,1,1,,,,,
Sea Otter,Ear Tag,,,,,,,1,,,,,
Striped Dolphin,Ear Tag,,,,,,,1,,,,,
Unknown deer,Ear Tag,,,,,,1,,,,,,
White-tailed Deer,Ear Tag,,,,,,,1,,,,,
Atlantic White-sided Dolphin,Euthanize,,,,,,,,,,1,,
Bald Eagle,Euthanize,,,,,,,,,,1,,
Barn Swallow,Euthanize,,,,,,,,1,1,,,
Belted Kingfisher,Euthanize,,,,,,,,,,,1,
Beluga Whale,Euthanize,,,,,,,,,,,,1
Big Brown Bat,Euthanize,,,,,,,,,,,1,
Bighorn Sheep,Euthanize,,,,,,,,4,3,1,3,6
Black Bear,Euthanize,,,,,,,,6,4,2,4,3
Black-tailed deer,Euthanize,,,,,,,,,,,1,
Canada Goose,Euthanize,,,,,,,,,,1,,2
Cedar Waxwing,Euthanize,,,,,,,,1,1,,,
Cliff Swallow,Euthanize,,,,,,,,,,1,,
Columbian Ground Squirrel,Euthanize,,,,,,,,,,6,,1
Common Eider,Euthanize,,,,,,,,,,,,1
Cougar,Euthanize,,,,,,,,1,,,,
Coyote,Euthanize,,,,,,,,1,2,2,2,1
Crow,Euthanize,,,,,,,,1,,,,1
Deer Mouse,Euthanize,,,,,,,,,,1,,
Domestic Bison,Euthanize,,,,,,,,,1,,,
Domestic Horse,Euthanize,,,,,,,,,2,,,
Double-crested Cormorant,Euthanize,,,,,,,,,1,,,2
Earwigs,Euthanize,,,,,,,,,,,,1
Elk,Euthanize,,,,,,,,9,10,11,10,7
Golden-mantled Ground Squirrel,Euthanize,,,,,,,,,,1,,
Gray Jay,Euthanize,,,,,,,,1,,,,
Great Blue Heron,Euthanize,,,,,,,,,,,,1
Great Horned Owl,Euthanize,,,1,,,,,1,1,,,
Grizzly Bear,Euthanize,,,,,,,,,,1,,
Harbour Porpoise,Euthanize,,,,,,,,,,,1,
Harbour seal,Euthanize,,,,,,,,,1,,1,1
Herring Gull,Euthanize,,,,,,,,,1,,2,1
House Sparrow,Euthanize,,,,,,,,1,,,,
Least Chipmunk,Euthanize,,,,,,,,,,,,1
Little Brown Myotis,Euthanize,,,,,,,,,,1,1,1
Magpie,Euthanize,,,,,,,,1,1,1,,2
Marten,Euthanize,,,,,,,,,,,1,
Moose,Euthanize,,,,,,1,,9,3,2,5,2
Mountain Goat,Euthanize,,,,,,,,,,1,1,
Mule Deer,Euthanize,,,,,,1,,7,5,4,9,8
Muskrat,Euthanize,,,,,,,,,,1,,
Northern Waterthrush,Euthanize,,,,,,,,,,,1,
Opossum,Euthanize,,,,,,,,,,,,1
Osprey,Euthanize,,,,,,,,,,1,,
Plains Bison,Euthanize,,,1,,,,,1,1,6,2,1
Plains Gartersnake,Euthanize,,,,,,,,,,,,1
Porcupine,Euthanize,,,,1,,,,1,,,,
Raccoon,Euthanize,,,,,,,,1,,1,,1
Raven,Euthanize,,,,,,,,2,1,2,,
Red Fox,Euthanize,,,,,,,,1,,1,1,
Red Squirrel,Euthanize,,,,,,,,1,,2,,3
Ring-billed Gull,Euthanize,,,,,,,,,1,1,,1
Rock Pigeon,Euthanize,,,,,,,,1,,,,
Skunk,Euthanize,,,,,,,,,1,,,
Snowshoe Hare,Euthanize,,,,,,,,,,,1,2
Unknown bird,Euthanize,,,,,,,,2,1,,1,
Unknown deer,Euthanize,1,,,,,,,,,,,
Unknown gull,Euthanize,,,,,,,,,,,1,1
Unknown Mouse,Euthanize,,,,,,,,,,,,1
Unknown mustelid,Euthanize,,,,,,,,,,1,,
Water Snake,Euthanize,,,,,,,,,,,,1
White Pelican,Euthanize,,,,,,,,1,,,,
White-tailed Deer,Euthanize,,,,,,,,10,9,11,7,4
Wolf,Euthanize,,,,,,,,,3,,,
Wood Bison,Euthanize,,,,,,,,2,1,1,1,2
Black Bear,Evacuate Visitor,2,2,3,1,2,1,1,1,5,6,6,2
Coyote,Evacuate Visitor,,1,1,1,,,,1,,,,
Domestic Dog,Evacuate Visitor,,,,1,,,,2,,,,
Elk,Evacuate Visitor,,1,,,2,,,,,2,1,
Green Sea Turtle,Evacuate Visitor,,1,,,,,1,,,,,
Grizzly Bear,Evacuate Visitor,3,2,1,3,2,,2,2,2,4,2,
Guadalupe fur seal,Evacuate Visitor,,,,,,,1,,,,,
Hoary Marmot,Evacuate Visitor,,,,1,,,,,,,,
Jackrabbit,Evacuate Visitor,,,,1,,,,,,,,
Marten,Evacuate Visitor,,,1,1,,,1,,,,,
Moose,Evacuate Visitor,1,1,,,1,,,,,1,,
Mule Deer,Evacuate Visitor,1,1,1,1,2,,,,,,,
None,Evacuate Visitor,,,,,1,,,1,,,,
Plains Bison,Evacuate Visitor,,,,,,,,1,1,1,3,2
Polar Bear,Evacuate Visitor,,,,,,,,,,,1,
Porcupine,Evacuate Visitor,,,,1,,,,,,,,
Raccoon,Evacuate Visitor,,,,,,1,,,,,,
Unknown rodent,Evacuate Visitor,,,,,,,,,1,,,
Wasp,Evacuate Visitor,,,,1,1,,1,,,,,
White-tailed Deer,Evacuate Visitor,,1,,,1,,1,,,,,
Wolf,Evacuate Visitor,,,,,,,,5,,,,
Wood Bison,Evacuate Visitor,,,,,1,,,,,,1,
