"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi","residuals"
9,2010,"THIS",0.283672505323121,0.641836252661561,0.886699485574402
10,2010,"THIS",0.132744927583621,0.56637246379181,-0.393990290642721
11,2010,"THIS",0.194722277563507,0.597361138781753,0.106647315078266
12,2010,"THIS",0.20762541964963,0.603812709824815,0.232359666398984
1,2011,"THIS",0.0887550092304879,0.544377504615244,-0.741314596733225
2,2011,"THIS",0.325586930781038,0.662793465390519,1.27338224113037
3,2011,"THIS",0.03891425097758,0.51945712548879,-1.04309659859495
4,2011,"THIS",-0.0166952383953916,0.491652380802304,-1.46190015644887
5,2011,"THIS",-0.0162099136553213,0.491895043172339,-1.45612652474349
6,2011,"THIS",0.425718531693797,0.712859265846899,2.23224179195054
7,2011,"THIS",0.375956437247546,0.687978218623773,1.75564828824255
8,2011,"THIS",0.0598252488478178,0.529912624423909,-0.91630983024939
9,2011,"THIS",0.203230111512778,0.601615055756389,0.217355138051992
10,2011,"THIS",0.0879937686343964,0.543996884317198,-0.74516662155266
11,2011,"THIS",0.137162266390358,0.568581133195179,-0.358281837393389
12,2011,"THIS",0.252852954771393,0.626426477385696,0.600957497737397
1,2012,"THIS",0.144284726602576,0.572142363301288,-0.377554463869855
2,2012,"THIS",0.364672762412354,0.682336381206177,1.54321121046802
3,2012,"THIS",0.00509203082168129,0.502546015410841,-1.37757406947159
4,2012,"THIS",0.0224334611567418,0.511216730578371,-1.21287341657741
5,2012,"THIS",-0.000278960628230029,0.499860519685885,-1.40454157515274
6,2012,"THIS",0.389979092123223,0.694989546061612,1.81657560785212
7,2012,"THIS",0.362759851634639,0.681379925817319,1.54374448475849
8,2012,"THIS",0.108995672851705,0.554497836425852,-0.606605096264454
9,2012,"THIS",0.340296911255385,0.670148455627693,1.30279252366547
10,2012,"THIS",0.135146752522059,0.56757337626103,-0.428666902287399
11,2012,"THIS",0.104073566940065,0.552036783470032,-0.696409260084773
12,2012,"THIS",0.267563980483544,0.633781990241772,0.640654722754535
1,2013,"THIS",0.123141573888612,0.561570786944306,-0.71340394255101
2,2013,"THIS",0.328576151634241,0.66428807581712,1.07435485641723
3,2013,"THIS",-0.0156495473524135,0.492175226323793,-1.68632240839295
4,2013,"THIS",-0.00871283918997508,0.495643580405012,-1.60844617878897
5,2013,"THIS",-0.00743082137192498,0.496284589314038,-1.6178193030775
6,2013,"THIS",0.372085298424158,0.686042649212079,1.4856320367623
7,2013,"THIS",0.276973106989738,0.638486553494869,0.628016170949072
8,2013,"THIS",0.0133963051665152,0.506698152583258,-1.5422129854518
9,2013,"THIS",0.274633491820557,0.637316745910279,0.585547020523093
10,2013,"THIS",0.0476178741012869,0.523808937050643,-1.27792829615741
11,2013,"THIS",0.202601371810925,0.601300685905462,-0.0428198474891945
12,2013,"THIS",0.335809720199248,0.667904860099624,1.06039293577548
1,2014,"THIS",0.120623880836891,0.560311940418445,-0.931292961070138
2,2014,"THIS",0.443121864974784,0.721560932487392,1.91084317063307
3,2014,"THIS",0.0852665863655266,0.542633293182763,-1.05173242088898
4,2014,"THIS",0.0235680688048079,0.511784034402404,-1.52840608552175
5,2014,"THIS",0.0200161981520523,0.510008099076026,-1.58691379776912
6,2014,"THIS",0.431933552023617,0.715966776011808,1.82012960921288
7,2014,"THIS",0.386576806209051,0.693288403104525,1.36763889807048
8,2014,"THIS",0.0285295007771012,0.514264750388551,-1.62057527596666
9,2014,"THIS",0.321927079389663,0.660963539694831,0.799917580251263
10,2014,"THIS",0.0738600614885246,0.536930030744262,-1.2432174434223
11,2014,"THIS",0.211031371183428,0.605515685591714,-0.155790244405698
12,2014,"THIS",0.453130328360587,0.726565164180293,1.91659661828254
1,2015,"THIS",0.212443007836134,0.606221503918067,-0.346249173267773
2,2015,"THIS",0.454411250037068,0.727205625018534,1.86210798243091
3,2015,"THIS",0.0738168128153851,0.536908406407693,-1.28569302295715
4,2015,"THIS",0.0306901190222961,0.515345059511148,-1.61565396081892
5,2015,"THIS",0.0453022402745825,0.522651120137291,-1.53841832601925
6,2015,"THIS",0.552440166067009,0.776220083033504,2.81799453734346
7,2015,"THIS",0.395517052161955,0.697758526080978,1.27167989071303
8,2015,"THIS",0.0153293318089457,0.507664665904473,-1.89125320007485
9,2015,"THIS",0.45676221474223,0.728381107371115,1.85255600536856
10,2015,"THIS",0.23976781737817,0.619883908689085,-0.034244298189741
11,2015,"THIS",0.269757563337615,0.634878781668808,0.185484895156646
12,2015,"THIS",0.458800491846399,0.7294002459232,1.80662948554006
1,2016,"THIS",0.296303671283746,0.648151835641873,0.27593077994758
2,2016,"THIS",0.510306753105895,0.755153376552947,2.33183496878147
3,2016,"THIS",0.0641660983922125,0.532083049196106,-1.41969542800396
4,2016,"THIS",0.045270389949214,0.522635194974607,-1.55773427869136
5,2016,"THIS",0.0488121159363384,0.524406057968169,-1.57908873831226
6,2016,"THIS",0.495694372551489,0.747847186275745,2.1675966314992
7,2016,"THIS",0.511875080789255,0.755937540394628,2.27167536731005
8,2016,"THIS",0.142366712755669,0.571183356377834,-0.950422611869466
9,2016,"THIS",0.40957011957961,0.704785059789805,1.35131695813872
10,2016,"THIS",0.215198071207017,0.607599035603508,-0.292943071497809
11,2016,"THIS",0.277107912405253,0.638553956202627,0.187118615679901
12,2016,"THIS",0.491398017407964,0.745699008703982,2.04219485163291
1,2017,"THIS",0.192890468297388,0.596445234148694,-0.572456460630698
2,2017,"THIS",0.444667653322351,0.722333826661176,1.72938777943648
3,2017,"THIS",0.062859193607442,0.531429596803721,-1.39972681077579
4,2017,"THIS",0.0670738263994884,0.533536913199744,-1.35467337728
5,2017,"THIS",0.0727641244142812,0.536382062207141,-1.36844160713443
6,2017,"THIS",0.367651793341492,0.683825896670746,0.996413880413684
7,2017,"THIS",0.356548236004406,0.678274118002203,0.839694004206971
8,2017,"THIS",0.100844539223904,0.550422269611952,-1.27874389818709
9,2017,"THIS",0.239508892422828,0.619754446211414,-0.0918431621120818
10,2017,"THIS",0.181588730452868,0.590794365226434,-0.536042215289049
11,2017,"THIS",0.296995328110115,0.648497664055057,0.383494947911787
12,2017,"THIS",0.516247159786379,0.75812357989319,2.30108685400977
1,2018,"THIS",0.112580357378062,0.556290178689031,-1.17044258896602
2,2018,"THIS",0.433975897407449,0.716987948703725,1.69811991402004
3,2018,"THIS",0.104093002961301,0.55204650148065,-0.995249037662741
4,2018,"THIS",0.0395701785862237,0.519785089293112,-1.50487000791267
5,2018,"THIS",0.0200566746355442,0.510028337317772,-1.73023923801206
6,2018,"THIS",0.606770231348492,0.803385115674246,3.37230866499272
7,2018,"THIS",0.464191881754474,0.732095940877237,1.85851416001423
8,2018,"THIS",0.0840577777228607,0.54202888886143,-1.36496999196048
9,2018,"THIS",0.363231778679534,0.681615889339767,1.02709764281824
10,2018,"THIS",0.0846837977234525,0.542341898861726,-1.24519122201225
11,2018,"THIS",0.219586237333826,0.609793118666913,-0.19195855215726
12,2018,"THIS",0.421745888251593,0.710872944125796,1.46675859205075
1,2019,"THIS",0.174532833228548,0.587266416614274,-0.631223597755124
2,2019,"THIS",0.508686407070243,0.754343203535122,2.46039773655661
3,2019,"THIS",0.0520389247308919,0.526019462365446,-1.35683627226452
4,2019,"THIS",0.028559804381409,0.514279902190705,-1.53828436570066
5,2019,"THIS",0.0667915862503802,0.53339579312519,-1.3094689321074
6,2019,"THIS",0.519373595237453,0.759686797618726,2.49536915564034
7,2019,"THIS",0.396363158107898,0.698181579053949,1.26439832534532
