"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi"
12,2011,"GBIS",0.258222467442475,0.629111233721237
1,2012,"GBIS",0.20902225304418,0.60451112652209
2,2012,"GBIS",0.335408972894065,0.667704486447033
3,2012,"GBIS",-0.0106356516079656,0.494682174196017
4,2012,"GBIS",0.0160737405204562,0.508036870260228
5,2012,"GBIS",-0.00726601243311262,0.496366993783444
6,2012,"GBIS",0.456023187496111,0.728011593748055
7,2012,"GBIS",0.350068715989937,0.675034357994968
8,2012,"GBIS",0.0951592067568848,0.547579603378442
9,2012,"GBIS",0.274213207435711,0.637106603717855
10,2012,"GBIS",0.0432304166591335,0.521615208329567
11,2012,"GBIS",0.102580468761514,0.551290234380757
12,2012,"GBIS",0.341863961846675,0.670931980923338
1,2013,"GBIS",0.106500263743709,0.553250131871854
2,2013,"GBIS",0.419224891566218,0.709612445783109
3,2013,"GBIS",-0.0137772546187088,0.493111372690646
4,2013,"GBIS",0.00217834179763481,0.501089170898817
5,2013,"GBIS",-0.00635540320894464,0.496822298395528
6,2013,"GBIS",0.381776177396132,0.690888088698066
7,2013,"GBIS",0.339556810965859,0.669778405482929
8,2013,"GBIS",0.0299821118344101,0.514991055917205
9,2013,"GBIS",0.302596168799255,0.651298084399627
10,2013,"GBIS",0.0402700515657694,0.520135025782885
11,2013,"GBIS",0.188618408038771,0.594309204019385
12,2013,"GBIS",0.371102285065354,0.685551142532677
1,2014,"GBIS",0.0828604170457947,0.541430208522897
2,2014,"GBIS",0.422179552580798,0.711089776290399
3,2014,"GBIS",0.106406388998483,0.553203194499241
4,2014,"GBIS",0.0521644231708577,0.526082211585429
5,2014,"GBIS",0.0448177777825544,0.522408888891277
6,2014,"GBIS",0.503920610402495,0.751960305201248
7,2014,"GBIS",0.439605556039531,0.719802778019766
8,2014,"GBIS",0.0616405913726978,0.530820295686349
9,2014,"GBIS",0.271542778231617,0.635771389115809
10,2014,"GBIS",0.082306172755425,0.541153086377713
11,2014,"GBIS",0.182063580642328,0.591031790321164
12,2014,"GBIS",0.364808621434354,0.682404310717177
1,2015,"GBIS",0.199368390379555,0.599684195189778
2,2015,"GBIS",0.388738578896151,0.694369289448076
3,2015,"GBIS",0.0492500000715344,0.524625000035767
4,2015,"GBIS",0.0718441355872163,0.535922067793608
5,2015,"GBIS",0.077312222032844,0.538656111016422
6,2015,"GBIS",0.571421388581801,0.7857106942909
7,2015,"GBIS",0.472994345959311,0.736497172979655
8,2015,"GBIS",0.0651216665486536,0.532560833274327
9,2015,"GBIS",0.326991666908939,0.663495833454469
10,2015,"GBIS",0.20834367879821,0.604171839399105
11,2015,"GBIS",0.243592262940127,0.621796131470064
12,2015,"GBIS",0.433925833877921,0.716962916938961
1,2016,"GBIS",0.327704309135881,0.663852154567941
2,2016,"GBIS",0.521149999960183,0.760574999980091
3,2016,"GBIS",0.0665538888498644,0.533276944424932
4,2016,"GBIS",0.0712885059608125,0.535644252980406
5,2016,"GBIS",0.056451666765779,0.52822583338289
6,2016,"GBIS",0.545874137489832,0.772937068744916
7,2016,"GBIS",0.531221155437674,0.765610577718837
8,2016,"GBIS",0.118181547600523,0.559090773800262
9,2016,"GBIS",0.403247222186857,0.701623611093429
10,2016,"GBIS",0.2113000001533,0.60565000007665
11,2016,"GBIS",0.261182144179817,0.630591072089908
12,2016,"GBIS",0.455174404588311,0.727587202294156
1,2017,"GBIS",0.233411389806393,0.616705694903196
2,2017,"GBIS",0.434389101970774,0.717194550985387
3,2017,"GBIS",0.0887105556552412,0.544355277827621
4,2017,"GBIS",0.0510913691296819,0.525545684564841
5,2017,"GBIS",0.059301666613025,0.529650833306513
6,2017,"GBIS",0.457603737393207,0.728801868696603
7,2017,"GBIS",0.436800574359961,0.718400287179981
8,2017,"GBIS",0.0959568966608965,0.547978448330448
9,2017,"GBIS",0.280836111812484,0.640418055906242
10,2017,"GBIS",0.102623275531632,0.551311637765816
11,2017,"GBIS",0.274191071377376,0.637095535688688
12,2017,"GBIS",0.402569885985214,0.701284942992607
1,2018,"GBIS",0.142471726225075,0.571235863112537
2,2018,"GBIS",0.420072839880266,0.710036419940133
3,2018,"GBIS",0.0694680555788096,0.534734027789405
